,Carat,table,depth,x,y,z,cut,color,clarity,price
31537,0.3,59.0,61.9,4.27,5.734447312568118,2.65,Ideal,E,VVS2,766
31537,0.3,59.0,61.9,4.27,5.734447312568118,2.65,Ideal,E,VVS2,766
13894,1.02,57.0,62.2,6.45,6.41,4.0,Ideal,E,SI1,5655
34840,0.3,57.0,60.9,4.35,4.32,2.64,Ideal,G,SI1,878
47480,0.7983089555010006,61.0,60.5,5.43,5.5,3.31,Good,F,VS1,1861
22218,1.23,58.0,60.8,6.9,6.94,4.21,Very Good,F,VS1,10276
40881,0.38,56.0,62.2,4.65,4.58,2.87,Ideal,E,VVS2,1176
40881,0.38,56.0,62.2,4.65,4.58,2.87,Ideal,E,VVS2,1176
18701,0.7983089555010006,56.0,60.6,4.58,4.63,2.79,Ideal,D,SI1,619
48123,0.54,56.0,63.2,5.729355091583495,5.23,3.3,Good,D,VS1,1939
4241,0.76,56.0,61.8,5.85,5.89,3.63,Ideal,I,SI1,3577
5712,0.25,57.0,63.2,3.99,5.734447312568118,2.53,Very Good,F,VVS2,575
35801,0.31,54.0,61.9,4.36,4.39,2.71,Very Good,F,IF,914
35801,0.31,54.0,61.9,4.36,4.39,2.71,Very Good,F,IF,914
25736,1.26,58.0,60.5,6.99,7.03,4.24,Premium,D,VVS2,14663
36788,0.7983089555010006,55.0,62.2,4.49,4.48,2.79,Ideal,E,VS2,956
41783,0.57,58.0,60.4,5.4,5.37,3.25,Premium,F,SI2,1247
31295,0.32,56.0,62.2,4.38,4.4,2.73,Ideal,D,VS2,758
31295,0.32,56.0,62.2,4.38,4.4,2.73,Ideal,D,VS2,758
18658,1.11,59.0,60.7,6.64,6.61,4.02,Premium,F,VS1,7623
32170,0.37,58.0,62.2,4.56,4.6,2.85,Premium,G,VVS2,787
32170,0.37,58.0,62.2,4.56,4.6,2.85,Premium,G,VVS2,787
10080,1.07,62.0,61.0,6.6,6.68,4.05,Good,D,SI2,4710
13222,1.5,62.0,64.7,7.19,7.04,4.6,Fair,D,I1,5460
13222,1.5,62.0,64.7,7.19,7.04,4.6,Fair,D,I1,5460
49461,0.71,56.0,65.1,5.63,5.55,3.64,Fair,H,SI1,2112
45554,0.51,56.0,62.8,5.09,5.734447312568118,3.19,Ideal,D,SI1,1687
27721,1.94,58.0,62.6,7.91,7.87,4.94,Premium,F,SI1,18735
33229,0.33,56.0,61.1,4.5,4.54,2.76,Ideal,D,VS2,822
17185,1.11,59.0,62.7,6.58,6.62,4.14,Premium,F,VS2,6863
50928,0.71,60.0,60.2,5.77,5.79,3.48,Ideal,I,SI1,2319
36732,0.32,57.0,60.5,5.729355091583495,4.44,2.68,Ideal,G,IF,954
5495,0.91,60.0,61.5,6.24,6.19,3.82,Premium,E,SI1,3842
10602,0.98,60.0,59.9,6.45,6.38,3.84,Very Good,H,VS2,4826
9000,0.91,61.0,62.5,6.1,6.19,3.84,Very Good,E,SI1,4512
13918,1.09,56.0,62.0,6.56,6.61,4.08,Ideal,F,SI1,5665
13918,1.09,56.0,62.0,6.56,6.61,4.08,Ideal,F,SI1,5665
26257,0.7983089555010006,59.0,61.4,8.27,8.33,5.1,Ideal,J,VS1,15714
4288,0.97,61.0,60.4,6.4,6.37,3.86,Ideal,D,SI1,3585
4288,0.97,61.0,60.4,6.4,6.37,3.86,Ideal,D,SI1,3585
4288,0.97,61.0,60.4,6.4,6.37,3.86,Ideal,D,SI1,3585
